"Date","Price","Open","High","Low","Vol.","Change %"
"30/01/2026","6,152.92","6,118.79","6,165.38","6,118.79","97.21M","0.63%"
"29/01/2026","6,114.46","6,159.64","6,172.52","6,112.88","95.54M","0.01%"
"28/01/2026","6,114.14","6,132.52","6,145.06","6,080.82","89.69M","-0.96%"
"27/01/2026","6,173.36","6,165.75","6,186.84","6,146.94","87.34M","0.26%"
"26/01/2026","6,157.42","6,159.68","6,178.51","6,138.56","75.07M","-0.17%"
"23/01/2026","6,167.99","6,147.93","6,175.63","6,131.63","82.06M","-0.06%"
"22/01/2026","6,171.93","6,183.64","6,201.22","6,164.55","103.20M","1.00%"
"21/01/2026","6,110.83","6,096.26","6,127.36","6,069.09","90.82M","0.11%"
"20/01/2026","6,104.24","6,098.88","6,104.24","6,054.43","88.86M","-0.60%"
"19/01/2026","6,141.08","6,146.23","6,176.58","6,126.46","79.41M","-1.68%"
"16/01/2026","6,246.07","6,279.89","6,288.32","6,229.73","86.64M","-0.65%"
"15/01/2026","6,287.20","6,325.07","6,325.07","6,271.35","76.31M","-0.19%"
"14/01/2026","6,298.97","6,322.07","6,342.73","6,294.43","87.59M","-0.12%"
"13/01/2026","6,306.80","6,306.03","6,312.27","6,280.27","88.22M","-0.18%"
"12/01/2026","6,318.28","6,307.63","6,332.73","6,290.99","79.00M","-0.05%"
"09/01/2026","6,321.59","6,259.96","6,321.59","6,259.96","85.15M","1.35%"
"08/01/2026","6,237.66","6,220.41","6,245.88","6,210.75","79.49M","0.04%"
"07/01/2026","6,235.47","6,241.80","6,247.34","6,215.62","89.59M","0.08%"
"06/01/2026","6,230.38","6,217.86","6,242.25","6,172.59","87.98M","0.28%"
"05/01/2026","6,212.92","6,238.48","6,242.62","6,184.22","81.87M","0.24%"
"02/01/2026","6,198.07","6,149.45","6,216.53","6,140.61","69.93M","0.52%"
"31/12/2025","6,166.03","6,162.46","6,166.03","6,141.80","28.62M","-0.19%"
"30/12/2025","6,177.92","6,126.82","6,189.40","6,125.26","46.27M","0.67%"
"29/12/2025","6,136.75","6,147.07","6,152.10","6,118.60","55.02M","0.13%"
"24/12/2025","6,128.53","6,131.09","6,149.61","6,128.53","16.82M","0.00%"
"23/12/2025","6,128.23","6,139.75","6,145.16","6,116.94","49.99M","-0.19%"
"22/12/2025","6,140.17","6,145.33","6,151.44","6,121.57","57.65M","-0.24%"
"19/12/2025","6,155.25","6,141.65","6,174.32","6,141.65","177.10M","0.00%"
"18/12/2025","6,155.39","6,106.74","6,166.56","6,106.74","91.07M","0.79%"
"17/12/2025","6,107.38","6,129.85","6,144.81","6,098.63","84.37M","-0.27%"
"16/12/2025","6,123.86","6,130.58","6,157.07","6,110.05","94.48M","-0.26%"
"15/12/2025","6,139.66","6,113.25","6,166.10","6,111.93","83.79M","0.67%"
"12/12/2025","6,098.62","6,122.13","6,163.54","6,098.62","88.13M","-0.20%"
"11/12/2025","6,110.73","6,079.38","6,123.88","6,052.40","81.55M","0.80%"
"10/12/2025","6,062.26","6,070.87","6,080.19","6,051.74","70.99M","-0.36%"
"09/12/2025","6,084.13","6,133.93","6,143.62","6,078.11","77.73M","-0.65%"
"08/12/2025","6,123.76","6,117.43","6,127.16","6,105.44","69.68M","-0.07%"
"05/12/2025","6,127.96","6,149.48","6,161.10","6,127.96","80.16M","-0.04%"
"04/12/2025","6,130.43","6,127.04","6,141.83","6,114.08","87.64M","0.41%"
"03/12/2025","6,105.16","6,097.11","6,119.72","6,078.51","89.75M","0.11%"
"02/12/2025","6,098.65","6,107.11","6,144.25","6,096.98","77.71M","-0.32%"
"01/12/2025","6,118.44","6,105.14","6,131.08","6,078.29","80.11M","-0.30%"
"28/11/2025","6,137.06","6,124.17","6,143.46","6,107.59","71.24M","0.29%"
"27/11/2025","6,119.36","6,115.00","6,129.12","6,101.67","55.60M","0.10%"
"26/11/2025","6,113.25","6,099.15","6,114.59","6,062.42","84.00M","0.85%"
"25/11/2025","6,062.01","6,028.94","6,070.64","6,000.04","89.50M","0.82%"
"24/11/2025","6,012.51","6,060.24","6,064.22","6,010.08","170.17M","-0.21%"
"21/11/2025","6,025.14","5,970.68","6,035.41","5,967.91","98.33M","0.01%"
"20/11/2025","6,024.42","6,080.53","6,081.45","6,024.42","94.20M","0.29%"
"19/11/2025","6,007.29","6,012.08","6,047.10","5,980.24","87.16M","-0.15%"
"18/11/2025","6,016.20","6,048.57","6,062.20","5,984.17","93.27M","-1.82%"
"17/11/2025","6,127.96","6,170.24","6,171.12","6,121.71","65.15M","-0.61%"
"14/11/2025","6,165.76","6,173.43","6,187.46","6,101.18","77.86M","-0.72%"
"13/11/2025","6,210.18","6,237.37","6,270.73","6,206.93","77.92M","-0.09%"
"12/11/2025","6,215.75","6,180.06","6,245.77","6,176.12","92.04M","1.00%"
"11/11/2025","6,154.27","6,097.18","6,164.01","6,094.42","70.09M","1.23%"
"10/11/2025","6,079.38","6,072.75","6,095.92","6,054.03","78.94M","1.29%"
"07/11/2025","6,001.76","6,031.75","6,041.28","5,970.65","82.07M","-0.20%"
