"Date","Price","Open","High","Low","Vol.","Change %"
"30/01/2026","55.3600","56.2100","57.1000","55.0000","100.72K","-1.39%"
"29/01/2026","56.1400","59.3300","60.0000","56.1400","105.16K","-4.52%"
"28/01/2026","58.8000","60.1600","60.8700","58.8000","78.78K","-2.02%"
"27/01/2026","60.0100","60.5000","61.9500","59.1200","83.37K","-0.32%"
"26/01/2026","60.2000","59.7000","60.2000","56.8500","129.12K","1.69%"
"23/01/2026","59.2000","58.1000","61.2000","58.1000","212.64K","1.95%"
"22/01/2026","58.0700","58.0000","58.2500","54.5000","159.98K","1.86%"
"21/01/2026","57.0100","56.5900","59.4000","55.3000","253.66K","6.03%"
"20/01/2026","53.7700","54.0700","54.8500","52.6300","124.72K","-2.02%"
"19/01/2026","54.8800","55.3000","55.3700","52.5600","123.03K","-3.48%"
"16/01/2026","56.8600","57.0000","58.1800","56.3000","95.47K","-0.98%"
"15/01/2026","57.4200","57.2200","57.9000","56.1000","64.56K","0.51%"
"14/01/2026","57.1300","56.3900","57.7000","55.2400","86.73K","1.76%"
"13/01/2026","56.1400","56.9800","57.4900","55.0600","99.96K","-1.16%"
"12/01/2026","56.8000","53.6100","56.8000","53.4100","213.17K","6.39%"
"09/01/2026","53.3900","51.6700","54.4900","51.1000","103.31K","3.53%"
"08/01/2026","51.5700","53.0500","53.7200","51.5700","62.29K","-3.59%"
"07/01/2026","53.4900","51.8500","53.5000","51.6300","72.99K","2.43%"
"06/01/2026","52.2200","50.2500","52.4000","49.1500","79.31K","3.92%"
"05/01/2026","50.2500","52.9600","53.3300","49.1000","136.55K","-3.62%"
"02/01/2026","52.1400","51.0000","54.8000","51.0000","148.07K","3.93%"
"31/12/2025","50.1700","49.9850","50.9400","49.6450","35.72K","0.36%"
"30/12/2025","49.9900","48.4000","49.9900","48.2000","79.21K","3.23%"
"29/12/2025","48.4250","47.3050","49.4950","46.8050","108.49K","5.73%"
"24/12/2025","45.8000","45.4400","46.3000","45.3500","30.58K","0.66%"
"23/12/2025","45.5000","45.0800","46.4900","45.0000","82.90K","0.22%"
"22/12/2025","45.4000","46.9950","47.0250","45.0100","86.08K","-2.27%"
"19/12/2025","46.4550","48.4000","48.6250","45.7000","153.18K","-3.51%"
"18/12/2025","48.1450","48.5450","49.4350","47.9750","70.82K","0.63%"
"17/12/2025","47.8450","49.1500","50.0800","47.6000","92.50K","-2.62%"
